Family,Rails,DiamIn,CapArea_m2,MAstar,MechRGP,ElecRGP,AveMechPow_kW,AveElecPow_kW,AstarCapHits,ElapsedSec
DHD2,2,10,0.0506707479097498,5,0.52008782645655,0.401598794235851,387.902945214013,299.528939448263,0,287.126716
DHD2,2,11.7,0.0693631868136564,5,0.684098777997563,0.530855744430553,510.229075367006,395.934102421434,0,190.769054
DHD2,2,13.3,0.0896314859775564,5,0.787515272122404,0.610734142212777,587.361360750511,455.510705030666,0,114.197994
DHD2,2,14.7,0.109494419158178,5,0.837399593521813,0.644664721233646,624.567144478752,480.817529888855,0,81.505357
DHD2,2,16.7,0.141315648845501,5,0.87715654290727,0.653527423835534,654.219516587545,487.42769891598,0,80.499461
DHD2,2,18,0.164173223227589,5,0.885246425974232,0.634952368447388,660.253284940656,473.573656721479,0,85.372642
DHD2,2,20,0.202682991638999,5,0.878948363933843,0.583485928837623,655.555930589464,435.187863998113,0,89.49822
DHD2,2,21.7,0.238603484832221,5,0.837678417837802,0.50877655060046,624.775103150091,379.466529294417,0,100.69068
DHD2,2,23.3,0.275086423327241,5,0.790166979834131,0.429485565805048,589.339113697035,320.328043510941,0,133.788435
DHD2,2,25,0.316692174435936,5,0.731997156310322,0.323345536190169,545.953660856889,241.164433062248,0,95.888017
DHD3,3,14.7,0.109494419158178,5,0.891619322874018,0.716699244484438,665.006454215574,534.543847454189,0,225.608534
DHD3,3,16.7,0.141315648845501,5,0.926411787134364,0.739962684031045,690.956108622586,551.894679865359,0,210.496932
DHD3,3,18,0.164173223227589,5,0.941660839089615,0.738698882167749,702.329480319179,550.952084326679,0,196.970394
DHD3,3,20,0.202682991638999,5,0.956411783303594,0.719930665472998,713.33134272437,536.953974465293,0,211.488929
DHD3,3,21.7,0.238603484832221,5,0.932466994414363,0.675682078281075,695.4723318801,503.951553681387,0,249.285553
DHD3,3,23.3,0.275086423327241,5,0.922202914027884,0.638065015822928,687.816957519667,475.895197474723,0,284.268846
DHD3,3,25,0.316692174435936,5,0.899080007649379,0.58748553458827,670.570940539726,438.170934878548,0,321.881183
DHD4,4,14.7,0.109494419158178,5,0.899335363652216,0.727954804370208,670.761395575472,542.938708105841,0,1327.199592
DHD4,4,16.7,0.141315648845501,5,0.940234121445129,0.754633768764142,701.26537547355,562.836979776946,0,808.195319
DHD4,4,18,0.164173223227589,5,0.956099913602858,0.757701467115065,713.09873744256,565.124995694293,0,791.989533
DHD4,4,20,0.202682991638999,5,0.963711796743589,0.74203994333702,718.775993741812,553.443985505236,0,951.292657
DHD4,4,21.7,0.238603484832221,5,0.959963035310464,0.710870084510169,715.980012896189,530.196219597663,0,1291.228807
DHD4,4,23.3,0.275086423327241,5,0.947665273899158,0.653349457931019,706.807835374778,487.294964606509,0,2104.424905
DHD4,4,25,0.316692174435936,5,0.92153294422821,0.62134475011614,687.317266418899,463.424533901201,0,2880.429197
PassivePump,NaN,10,0.0506707479097498,NaN,0.594638747740438,0.496087607028339,443.506096188465,370.002591988261,0,26.035302
PassivePump,NaN,11.7,0.0693631868136564,NaN,0.659485305027081,0.55232999851738,491.871332363781,411.950486545068,0,25.713159
PassivePump,NaN,13.3,0.0896314859775564,NaN,0.673995307094512,0.566122826072152,502.693490181558,422.237746040791,0,25.478161
PassivePump,NaN,14.7,0.109494419158178,NaN,0.644623405169498,0.542723913382464,480.786714664671,404.785872173688,0,25.653077
PassivePump,NaN,16.7,0.141315648845501,NaN,0.564480695908597,0.476531266190834,421.012977656559,355.416666645302,0,25.556178
PassivePump,NaN,18,0.164173223227589,NaN,0.489475416865346,0.413789968770179,365.070947931112,308.621620082038,0,26.328912
PassivePump,NaN,20,0.202682991638999,NaN,0.35620541590289,0.30158104281627,265.672686229384,224.931576511179,0,25.628014
PassivePump,NaN,21.7,0.238603484832221,NaN,0.259145557530936,0.219625281798325,193.281441886961,163.805590746979,0,25.545518
PassivePump,NaN,23.3,0.275086423327241,NaN,0.194230247948754,0.164753638939111,144.864927414839,122.880057036956,0,25.373811
PassivePump,NaN,25,0.316692174435936,NaN,0.128384708121723,0.108987454274497,95.7546088708891,81.2873371647491,0,25.770314
