Family,SeaStateIdx,Hs,Tp,Probability,BestPressure_MPa,MechRGP,ElecRGP,AveMechPow_kW,AveElecPow_kW,MaxThetaDeg,MinThetaDeg,MetPositionTarget,PointsFound,PointsIntended
PassivePump,1,1.11845593108019,6.84990059642147,0.150945283585076,5,0.458075016603489,0.387137961167347,21.267034946998,17.9736424188842,9.27550371496163,-4.53430795629328,0,9,9
PassivePump,2,1.43904274533414,8.98585189644792,0.166149844953486,11,0.598646095952079,0.506826396436479,47.0752381247861,39.8548883246778,14.1133237519248,-6.05456274233917,1,9,9
PassivePump,3,2.02192164179104,6.96268656716418,0.214464339301791,14,0.59231574033499,0.500614952972063,90.6547912489249,76.6198514868201,18.2949139765959,-6.67275094749712,1,10,10
PassivePump,4,2.2579006772009,10.9695259593679,0.132939881964589,17,0.638882281256474,0.540342769378334,110.815382581479,93.72351131109,18.5753658614236,-13.569335320073,1,9,9
PassivePump,5,2.56283602150538,9.10954301075269,0.148844653396019,27,0.598965386343486,0.506926957265244,148.690446031667,125.84232261131,24.9506433572241,-6.52123851165439,1,9,10
PassivePump,6,2.86731391585761,13.1893203883495,0.0618185455636691,20,0.674659923873065,0.569607268438317,159.897153818013,134.9992459823,32.0299329591831,-18.7644687229711,1,9,10
PassivePump,7,3.65665236051502,10.8004291845494,0.0932279683905172,28,0.621530633176033,0.524156306818263,286.00221424916,241.19465133463,30.5290283714031,-21.7085975460232,1,8,9
PassivePump,8,4.99525316455696,12.7246835443038,0.0316094828448535,35,0.675229506741325,0.56685629590375,503.614007166629,422.784798083599,48.5517962892313,-33.8405356709496,1,5,6
DHD2,1,1.11845593108019,6.84990059642147,0.150945283585076,8,0.651155379425551,0.469681950059664,30.231171114394,21.8059096956587,11.8775925734267,-6.75350934489092,1,8,8
DHD2,2,1.43904274533414,8.98585189644792,0.166149844953486,12,0.739695845303694,0.531442123587849,58.1668506535683,41.7905749099592,19.7848139492884,-11.4857771107721,1,8,8
DHD2,3,2.02192164179104,6.96268656716418,0.214464339301791,15,0.735416188788013,0.534738294414138,112.55652439348,81.8424788534295,22.8543906948333,-9.79452854374847,1,9,9
DHD2,4,2.2579006772009,10.9695259593679,0.132939881964589,17,0.791347535532103,0.594665845587636,137.26077945445,103.145955241289,31.4399614160659,-14.5544160544634,1,6,6
DHD2,5,2.56283602150538,9.10954301075269,0.148844653396019,20,0.759522468218974,0.569428922956229,188.548014869407,141.358152688207,34.4324775341413,-13.8561934615973,1,9,9
DHD2,6,2.86731391585761,13.1893203883495,0.0618185455636691,18,0.852790297751281,0.661344615812649,202.114779000422,156.741371496087,40.8517774799795,-24.9513917274605,1,9,9
DHD2,7,3.65665236051502,10.8004291845494,0.0932279683905172,23,0.804110033386807,0.623807224713785,370.01756272801,287.049805769164,42.2977402408716,-22.2990233036559,1,9,9
DHD2,8,4.99525316455696,12.7246835443038,0.0316094828448535,30,0.857603760004485,0.660120390307828,639.636244899001,492.345005151976,57.431051070658,-46.6258929399042,1,8,8
DHD3,1,1.11845593108019,6.84990059642147,0.150945283585076,10,0.822529749998838,0.606390955334387,38.1875638358873,28.1528945504637,13.3729537614663,-8.82119481497497,1,8,8
DHD3,2,1.43904274533414,8.98585189644792,0.166149844953486,15,0.873684515978806,0.671689008535805,68.7032069761182,52.8190532543883,19.5259287166776,-5.59719567377122,1,9,9
DHD3,3,2.02192164179104,6.96268656716418,0.214464339301791,23,0.89114416758583,0.679357359370179,136.390919544871,103.976638477129,17.1583114353723,-16.2235064300891,1,9,9
DHD3,4,2.2579006772009,10.9695259593679,0.132939881964589,22,0.936241112744593,0.73593080692038,162.392854115878,127.648639373738,25.1923912065337,-13.842088521527,1,9,9
DHD3,5,2.56283602150538,9.10954301075269,0.148844653396019,29,0.903427683210254,0.701885355440379,224.271833125351,174.239862507974,34.2266512703014,-8.84150360504527,1,5,6
DHD3,6,2.86731391585761,13.1893203883495,0.0618185455636691,23,0.968258928989402,0.774782295939951,229.481315587099,183.626564385485,40.7230507538308,-21.4141140526555,1,5,6
DHD3,7,3.65665236051502,10.8004291845494,0.0932279683905172,35,0.941796319387412,0.748953769785742,433.374991253602,344.636973779392,44.7344426231044,-24.117282753374,1,5,6
DHD3,8,4.99525316455696,12.7246835443038,0.0316094828448535,35,0.934291229080365,0.746780763557858,696.832921310784,556.979884699269,56.2277237107567,-39.7365318059349,1,3,6
DHD4,1,1.11845593108019,6.84990059642147,0.150945283585076,20,0.863387579086395,0.624076785300912,40.0844690316921,28.9739940436289,5.8089804952816,-12.6504505788061,1,8,9
DHD4,2,1.43904274533414,8.98585189644792,0.166149844953486,23,0.88645524465157,0.681552943929024,69.7074482087303,53.5947153870291,11.2016847527341,-10.7535664716896,1,4,6
DHD4,3,2.02192164179104,6.96268656716418,0.214464339301791,29,0.930363037443259,0.713008924155429,142.393424995652,109.127059735699,15.4780653879181,-9.60729467612828,1,3,6
