HorizonPeriods,NumHorizons,MechRGP,ElecRGP,AveMechPow_kW,AveElecPow_kW,ElapsedSec
0.25,35,0.770551919181909,0.628966972491972,117.934099371372,96.2643159904554,4.455131
0.5,70,0.866720589931701,0.674460681596146,132.652855227123,103.227194774743,3.331433
0.75,104,0.880782147085043,0.674949079387231,134.804997136521,103.301944771716,3.892232
1,139,0.90962013968415,0.676019135584218,139.218694124603,103.465718439301,4.940666
1.5,209,0.884875902834721,0.676684746247049,135.431552447547,103.567591125746,8.044945
2,279,0.892108965748058,0.679286044612451,136.53858331613,103.965723649049,11.015163
2.5,348,0.893281340399642,0.680075504488942,136.718016972992,104.08655163897,14.163275
3,418,0.892688214882488,0.680892107993866,136.627238244215,104.211534000961,20.456741
4,557,0.893573511908941,0.681353627262122,136.762734250249,104.282170200664,43.210607
5,696,0.893567562185988,0.681425038043411,136.76182363644,104.29309972529,68.457079
6,836,0.89346314640881,0.681482301707112,136.745842648871,104.301864012858,120.335494
8,1114,0.893403809316892,0.681467603534555,136.73676102008,104.299614436028,233.80077
