Bin,Hm0_min_m,Hm0_max_m,Te_min_s,Te_max_s,Percent_Occurrence,Percent_Total_Energy
1,0.0,0.5,7.0,8.0,0.01,0.0
1,0.5,1.0,4.0,5.0,0.02,0.0
1,0.5,1.0,5.0,6.0,0.36,0.03
1,0.5,1.0,6.0,7.0,1.41,0.11
1,0.5,1.0,7.0,8.0,2.16,0.19
1,1.0,1.5,4.0,5.0,0.02,0.0
1,1.0,1.5,5.0,6.0,1.7,0.25
1,1.0,1.5,6.0,7.0,4.16,0.7
1,1.0,1.5,7.0,8.0,5.25,1.01
2,0.0,0.5,8.0,9.0,0.03,0.0
2,0.5,1.0,8.0,9.0,1.2,0.11
2,0.5,1.0,9.0,10.0,0.63,0.07
2,0.5,1.0,10.0,11.0,0.14,0.02
2,1.0,1.5,8.0,9.0,3.46,0.8
2,1.0,1.5,9.0,10.0,1.99,0.53
2,1.0,1.5,10.0,11.0,0.85,0.27
2,1.5,2.0,8.0,9.0,4.84,2.06
2,1.5,2.0,9.0,10.0,3.47,1.77
3,1.5,2.0,5.0,6.0,0.9,0.22
3,1.5,2.0,6.0,7.0,6.11,1.93
3,1.5,2.0,7.0,8.0,4.83,1.8
3,2.0,2.5,6.0,7.0,3.43,1.71
3,2.0,2.5,7.0,8.0,4.2,2.5
3,2.5,3.0,6.0,7.0,0.18,0.13
3,2.5,3.0,7.0,8.0,1.7,1.46
3,3.0,3.5,7.0,8.0,0.09,0.1
4,0.5,1.0,11.0,12.0,0.05,0.0
4,0.5,1.0,12.0,13.0,0.01,0.0
4,1.0,1.5,11.0,12.0,0.4,0.14
4,1.0,1.5,12.0,13.0,0.14,0.05
4,1.5,2.0,10.0,11.0,1.83,1.06
4,1.5,2.0,11.0,12.0,1.01,0.64
4,1.5,2.0,12.0,13.0,0.55,0.39
4,2.0,2.5,10.0,11.0,2.88,2.68
4,2.0,2.5,11.0,12.0,1.56,1.59
4,2.5,3.0,10.0,11.0,3.04,4.15
4,2.5,3.0,11.0,12.0,1.82,2.75
5,2.0,2.5,8.0,9.0,3.58,2.54
5,2.0,2.5,9.0,10.0,4.27,3.5
5,2.5,3.0,8.0,9.0,1.66,1.73
5,2.5,3.0,9.0,10.0,3.18,3.86
5,3.0,3.5,8.0,9.0,0.49,0.7
5,3.0,3.5,9.0,10.0,1.62,2.74
5,3.5,4.0,8.0,9.0,0.07,0.14
5,4.0,4.5,8.0,9.0,0.01,0.03
6,1.0,1.5,13.0,14.0,0.04,0.02
6,1.0,1.5,14.0,15.0,0.02,0.0
6,1.5,2.0,13.0,14.0,0.27,0.2
6,1.5,2.0,14.0,15.0,0.02,0.02
6,2.0,2.5,12.0,13.0,0.8,0.88
6,2.0,2.5,13.0,14.0,0.61,0.74
6,2.0,2.5,14.0,15.0,0.14,0.19
6,2.0,2.5,15.0,16.0,0.02,0.03
6,2.5,3.0,12.0,13.0,0.9,1.5
6,2.5,3.0,13.0,14.0,0.42,0.73
6,2.5,3.0,14.0,15.0,0.2,0.38
6,2.5,3.0,15.0,16.0,0.04,0.09
6,2.5,3.0,16.0,17.0,0.01,0.03
6,2.5,3.0,17.0,18.0,0.0,0.02
6,3.0,3.5,12.0,13.0,0.93,2.13
6,3.0,3.5,13.0,14.0,0.41,1.0
6,3.0,3.5,14.0,15.0,0.16,0.41
6,3.0,3.5,15.0,16.0,0.06,0.16
6,3.0,3.5,16.0,17.0,0.03,0.1
6,3.0,3.5,17.0,18.0,0.01,0.03
6,3.5,4.0,12.0,13.0,0.55,1.69
6,3.5,4.0,13.0,14.0,0.31,1.01
6,3.5,4.0,14.0,15.0,0.16,0.55
6,3.5,4.0,15.0,16.0,0.05,0.18
6,3.5,4.0,16.0,17.0,0.02,0.06
6,4.0,4.5,16.0,17.0,0.0,0.05
7,3.0,3.5,10.0,11.0,2.3,4.35
7,3.0,3.5,11.0,12.0,1.54,3.22
7,3.5,4.0,9.0,10.0,0.74,1.67
7,3.5,4.0,10.0,11.0,1.54,3.91
7,3.5,4.0,11.0,12.0,1.33,3.72
7,4.0,4.5,9.0,10.0,0.12,0.35
7,4.0,4.5,10.0,11.0,0.71,2.3
7,4.0,4.5,11.0,12.0,0.81,2.9
7,4.5,5.0,9.0,10.0,0.02,0.08
7,4.5,5.0,10.0,11.0,0.21,0.85
7,5.0,5.5,9.0,10.0,0.0,0.03
8,4.0,4.5,12.0,13.0,0.44,1.7
8,4.0,4.5,13.0,14.0,0.24,1.0
8,4.0,4.5,14.0,15.0,0.12,0.51
8,4.0,4.5,15.0,16.0,0.05,0.24
8,4.5,5.0,11.0,12.0,0.42,1.87
8,4.5,5.0,12.0,13.0,0.34,1.69
8,4.5,5.0,13.0,14.0,0.13,0.66
8,4.5,5.0,14.0,15.0,0.08,0.46
8,4.5,5.0,15.0,16.0,0.02,0.14
8,4.5,5.0,16.0,17.0,0.0,0.04
8,5.0,5.5,10.0,11.0,0.06,0.28
8,5.0,5.5,11.0,12.0,0.2,1.09
8,5.0,5.5,12.0,13.0,0.22,1.29
8,5.0,5.5,13.0,14.0,0.11,0.7
8,5.0,5.5,14.0,15.0,0.07,0.49
8,5.0,5.5,15.0,16.0,0.0,0.01
8,5.5,6.0,10.0,11.0,0.02,0.12
8,5.5,6.0,11.0,12.0,0.08,0.54
8,5.5,6.0,12.0,13.0,0.16,1.14
8,5.5,6.0,13.0,14.0,0.09,0.69
8,5.5,6.0,14.0,15.0,0.03,0.2
8,6.0,6.5,10.0,11.0,0.0,0.03
8,6.0,6.5,11.0,12.0,0.02,0.15
8,6.0,6.5,12.0,13.0,0.07,0.59
8,6.0,6.5,13.0,14.0,0.03,0.27
8,6.0,6.5,14.0,15.0,0.05,0.47
8,6.5,7.0,11.0,12.0,0.0,0.01
8,6.5,7.0,12.0,13.0,0.03,0.3
8,6.5,7.0,13.0,14.0,0.03,0.27
8,6.5,7.0,14.0,15.0,0.02,0.2
8,6.5,7.0,15.0,16.0,0.0,0.01
8,7.0,7.5,12.0,13.0,0.02,0.22
8,7.0,7.5,13.0,14.0,0.01,0.18
8,7.0,7.5,14.0,15.0,0.0,0.12
8,7.5,8.0,12.0,13.0,0.0,0.02
8,7.5,8.0,13.0,14.0,0.0,0.08
8,8.0,8.5,13.0,14.0,0.0,0.11
